Vehicle ID,Make,Short Model,Long Model,Trim,Derivative,Year introduced,Year discontinued,Currently Available
74907,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A160 SE 5dr,2016,,Y
74908,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A160 SE 5dr Auto,2016,,Y
74909,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A160 SE Executive 5dr,2016,,Y
74910,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A160 SE Executive 5dr Auto,2016,,Y
74911,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport 5dr,2016,,Y
74912,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport 5dr Auto,2016,,Y
74913,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Executive 5dr,2016,,Y
74914,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Executive 5dr Auto,2016,,Y
74915,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Premium 5dr,2016,,Y
74916,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Premium 5dr Auto,2016,,Y
74917,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Premium Plus 5dr,2016,,Y
74918,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A160 Sport Premium Plus 5dr Auto,2016,,Y
74919,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line 5dr,2016,,Y
74920,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line 5dr Auto,2016,,Y
74921,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Executive 5dr,2016,,Y
74922,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Executive 5dr Auto,2016,,Y
74923,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Premium 5dr,2016,,Y
74924,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Premium 5dr Auto,2016,,Y
74925,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Premium Plus 5dr,2016,,Y
74926,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A160 AMG Line Premium Plus 5dr Auto,2016,,Y
71831,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A180 SE 5dr,2015,,Y
71832,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A180 SE 5dr Auto,2015,,Y
71833,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A180 SE Executive 5dr,2015,,Y
71834,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,SE,A180 SE Executive 5dr Auto,2015,,Y
71835,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport 5dr,2015,,Y
71836,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport 5dr Auto,2015,,Y
71837,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Executive 5dr,2015,,Y
71838,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Executive 5dr Auto,2015,,Y
71839,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Premium 5dr,2015,,Y
71840,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Premium 5dr Auto,2015,,Y
71841,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Premium Plus 5dr,2015,,Y
71842,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,Sport,A180 Sport Premium Plus 5dr Auto,2015,,Y
71843,MERCEDES-BENZ,A CLASS,A CLASS HATCHBACK,AMG Line,A180 AMG Line 5dr,2015,,Y
